,Date String,Tournament,"Score(F,A)",Team Name,Opponent
1527,March 30,New England Open 2025,"('9', '7')",Wentworth,Western New England
1528,March 30,New England Open 2025,"('12', '10')",Wentworth,Harvard [B]
1529,March 30,New England Open 2025,"('7', '15')",Wentworth,Massachusetts-Lowell
1530,March 30,New England Open 2025,"('5', '14')",Wentworth,Connecticut [B]
1531,March 29,New England Open 2025,"('8', '9')",Western New England,Worcester Polytechnic
1532,March 29,New England Open 2025,"('11', '6')",Western New England,Clark
1533,March 29,New England Open 2025,"('10', '11')",Western New England,Amherst
1534,March 29,New England Open 2025,"('1', '13')",Western New England,Brandeis
1535,March 30,New England Open 2025,"('7', '9')",Western New England,Wentworth
1536,March 30,New England Open 2025,"('10', '11')",Western New England,Connecticut [B]
1537,March 30,New England Open 2025,"('0', '7')",Western New England,Harvard [B]
1538,March 29,Northwest Challenge D3,"('15', '11')",Puget Sound,Washington [B]
1539,March 29,Northwest Challenge D3,"('12', '11')",Puget Sound,Whitworth
1540,March 29,Northwest Challenge D3,"('15', '8')",Puget Sound,Central Washington
1541,March 30,Northwest Challenge D3,"('15', '8')",Puget Sound,Portland
1542,March 30,Northwest Challenge D3,"('11', '15')",Puget Sound,Simon Fraser
1543,March 29,Northwest Challenge D3,"('11', '15')",Washington [B],Puget Sound
1544,March 29,Northwest Challenge D3,"('13', '8')",Washington [B],Whitworth
1545,March 29,Northwest Challenge D3,"('15', '5')",Washington [B],Central Washington
1546,March 30,Northwest Challenge D3,"('7', '15')",Washington [B],British Columbia [B]
1547,March 30,Northwest Challenge D3,"('12', '10')",Washington [B],Portland
1548,March 29,Northwest Challenge D3,"('15', '6')",Whitworth,Central Washington
1549,March 29,Northwest Challenge D3,"('11', '12')",Whitworth,Puget Sound
1550,March 29,Northwest Challenge D3,"('8', '13')",Whitworth,Washington [B]
1551,March 29,Northwest Challenge D3,"('6', '15')",Central Washington,Whitworth
1552,March 29,Northwest Challenge D3,"('8', '15')",Central Washington,Puget Sound
1553,March 29,Northwest Challenge D3,"('5', '15')",Central Washington,Washington [B]
1554,March 29,Northwest Challenge D3,"('14', '12')",Simon Fraser,British Columbia [B]
1555,March 29,Northwest Challenge D3,"('15', '6')",Simon Fraser,Portland
1556,March 30,Northwest Challenge D3,"('15', '11')",Simon Fraser,Puget Sound
1557,March 30,Northwest Challenge D3,"('12', '10')",Simon Fraser,British Columbia [B]
1558,March 29,Northwest Challenge D3,"('15', '3')",British Columbia  [B],Portland
1559,March 29,Northwest Challenge D3,"('12', '14')",British Columbia  [B],Simon Fraser
1560,March 30,Northwest Challenge D3,"('15', '7')",British Columbia  [B],Washington [B]
1561,March 30,Northwest Challenge D3,"('10', '12')",British Columbia  [B],Simon Fraser
1562,March 29,Northwest Challenge D3,"('3', '15')",Portland,British Columbia [B]
1563,March 29,Northwest Challenge D3,"('6', '15')",Portland,Simon Fraser
1564,March 30,Northwest Challenge D3,"('8', '15')",Portland,Puget Sound
1565,March 30,Northwest Challenge D3,"('10', '12')",Portland,Washington [B]
1566,March 29,Old Capitol Open 2025,"('13', '9')",Colorado Mines,Illinois State
1567,March 29,Old Capitol Open 2025,"('12', '11')",Colorado Mines,Minnesota [B]
1568,March 29,Old Capitol Open 2025,"('13', '4')",Colorado Mines,DePaul
1569,March 30,Old Capitol Open 2025,"('12', '8')",Colorado Mines,Grinnell
1570,March 30,Old Capitol Open 2025,"('10', '11')",Colorado Mines,Wisconsin-La Crosse
1571,March 30,Old Capitol Open 2025,"('5', '7')",Colorado Mines,Wisconsin-Milwaukee
1572,March 29,Old Capitol Open 2025,"('13', '7')",Minnesota [B],Illinois State
1573,March 29,Old Capitol Open 2025,"('11', '12')",Minnesota [B],Colorado Mines (Entropy)
1574,March 29,Old Capitol Open 2025,"('13', '3')",Minnesota [B],Winona State
1575,March 30,Old Capitol Open 2025,"('11', '12')",Minnesota [B],Wisconsin-Milwaukee
1576,March 30,Old Capitol Open 2025,"('9', '11')",Minnesota [B],Northern Iowa
1577,March 30,Old Capitol Open 2025,"('6', '8')",Minnesota [B],Wisconsin-Eau Claire
1578,March 29,Old Capitol Open 2025,"('7', '13')",Illinois State,Minnesota [B]
1579,March 29,Old Capitol Open 2025,"('9', '13')",Illinois State,Colorado Mines (Entropy)
1580,March 29,Old Capitol Open 2025,"('7', '13')",Illinois State,Wisconsin-Eau Claire
1581,March 30,Old Capitol Open 2025,"('6', '13')",Illinois State,Nebraska
1582,March 30,Old Capitol Open 2025,"('12', '9')",Illinois State,Wisconsin-Platteville
1583,March 29,Old Capitol Open 2025,"('13', '5')",Iowa,Winona State
1584,March 29,Old Capitol Open 2025,"('13', '9')",Iowa,Wisconsin-Eau Claire
1585,March 29,Old Capitol Open 2025,"('13', '8')",Iowa,St Thomas
1586,March 30,Old Capitol Open 2025,"('13', '9')",Iowa,Northern Iowa
1587,March 30,Old Capitol Open 2025,"('11', '8')",Iowa,Wisconsin-Milwaukee
1588,March 30,Old Capitol Open 2025,"('13', '6')",Iowa,Wisconsin-La Crosse
1589,March 29,Old Capitol Open 2025,"('12', '9')",Wisconsin-Eau Claire,Winona State
1590,March 29,Old Capitol Open 2025,"('9', '13')",Wisconsin-Eau Claire,Iowa
1591,March 29,Old Capitol Open 2025,"('13', '7')",Wisconsin-Eau Claire,Illinois State
1592,March 30,Old Capitol Open 2025,"('10', '10')",Wisconsin-Eau Claire,Wisconsin-La Crosse
1593,March 30,Old Capitol Open 2025,"('8', '6')",Wisconsin-Eau Claire,Minnesota [B]
1594,March 29,Old Capitol Open 2025,"('9', '12')",Winona State,Wisconsin-Eau Claire
1595,March 29,Old Capitol Open 2025,"('5', '13')",Winona State,Iowa
1596,March 29,Old Capitol Open 2025,"('3', '13')",Winona State,Minnesota [B]
1597,March 30,Old Capitol Open 2025,"('13', '8')",Winona State,Wisconsin-Platteville
1598,March 30,Old Capitol Open 2025,"('13', '2')",Winona State,St John's (Minnesota)
1599,March 30,Old Capitol Open 2025,"('9', '7')",Winona State,Minnesota-Duluth
1600,March 29,Old Capitol Open 2025,"('13', '7')",Wisconsin-Milwaukee,St John's (Minnesota)
1601,March 29,Old Capitol Open 2025,"('13', '8')",Wisconsin-Milwaukee,Grinnell
1602,March 29,Old Capitol Open 2025,"('12', '10')",Wisconsin-Milwaukee,Wisconsin-Platteville
1603,March 30,Old Capitol Open 2025,"('12', '11')",Wisconsin-Milwaukee,Minnesota [B]
1604,March 30,Old Capitol Open 2025,"('8', '11')",Wisconsin-Milwaukee,Iowa
1605,March 30,Old Capitol Open 2025,"('7', '5')",Wisconsin-Milwaukee,Colorado Mines (Entropy)
1606,March 29,Old Capitol Open 2025,"('13', '9')",Grinnell,St John's (Minnesota)
1607,March 29,Old Capitol Open 2025,"('8', '13')",Grinnell,Wisconsin-Milwaukee
1608,March 29,Old Capitol Open 2025,"('13', '7')",Grinnell,Minnesota-Duluth
1609,March 30,Old Capitol Open 2025,"('8', '12')",Grinnell,Colorado Mines (Entropy)
1610,March 30,Old Capitol Open 2025,"('7', '-')",Grinnell,Wisconsin-La Crosse
1611,March 30,Old Capitol Open 2025,"('11', '3')",Grinnell,Northern Iowa
1612,March 29,Old Capitol Open 2025,"('9', '13')",St John's,Grinnell
1613,March 29,Old Capitol Open 2025,"('7', '13')",St John's,Wisconsin-Milwaukee
1614,March 29,Old Capitol Open 2025,"('10', '13')",St John's,Northern Iowa
1615,March 30,Old Capitol Open 2025,"('10', '7')",St John's,St Thomas
1616,March 30,Old Capitol Open 2025,"('2', '13')",St John's,Winona State
1617,March 30,Old Capitol Open 2025,"('5', '11')",St John's,Nebraska
1618,March 29,Old Capitol Open 2025,"('11', '12')",Wisconsin-La Crosse,Northern Iowa
1619,March 29,Old Capitol Open 2025,"('13', '9')",Wisconsin-La Crosse,Minnesota-Duluth
1620,March 29,Old Capitol Open 2025,"('13', '9')",Wisconsin-La Crosse,Nebraska
1621,March 30,Old Capitol Open 2025,"('10', '10')",Wisconsin-La Crosse,Wisconsin-Eau Claire
1622,March 30,Old Capitol Open 2025,"('-', '7')",Wisconsin-La Crosse,Grinnell
1623,March 30,Old Capitol Open 2025,"('11', '10')",Wisconsin-La Crosse,Colorado Mines (Entropy)
1624,March 30,Old Capitol Open 2025,"('6', '13')",Wisconsin-La Crosse,Iowa
1625,March 29,Old Capitol Open 2025,"('11', '13')",Northern Iowa,Minnesota-Duluth
1626,March 29,Old Capitol Open 2025,"('12', '11')",Northern Iowa,Wisconsin-La Crosse
1627,March 29,Old Capitol Open 2025,"('13', '10')",Northern Iowa,St John's (Minnesota)
1628,March 30,Old Capitol Open 2025,"('9', '13')",Northern Iowa,Iowa
1629,March 30,Old Capitol Open 2025,"('11', '9')",Northern Iowa,Minnesota [B]
1630,March 30,Old Capitol Open 2025,"('3', '11')",Northern Iowa,Grinnell
1631,March 29,Old Capitol Open 2025,"('13', '11')",Minnesota-Duluth,Northern Iowa
1632,March 29,Old Capitol Open 2025,"('9', '13')",Minnesota-Duluth,Wisconsin-La Crosse
1633,March 29,Old Capitol Open 2025,"('7', '13')",Minnesota-Duluth,Grinnell
1634,March 30,Old Capitol Open 2025,"('11', '10')",Minnesota-Duluth,DePaul
1635,March 30,Old Capitol Open 2025,"('13', '12')",Minnesota-Duluth,Nebraska
1636,March 30,Old Capitol Open 2025,"('7', '9')",Minnesota-Duluth,Winona State
1637,March 29,Old Capitol Open 2025,"('14', '4')",DePaul,Iowa [B]
1638,March 29,Old Capitol Open 2025,"('13', '12')",DePaul,Luther
1639,March 29,Old Capitol Open 2025,"('4', '13')",DePaul,Colorado Mines (Entropy)
1640,March 30,Old Capitol Open 2025,"('10', '11')",DePaul,Minnesota-Duluth
1641,March 29,Old Capitol Open 2025,"('13', '4')",Luther,Iowa [B]
1642,March 29,Old Capitol Open 2025,"('12', '13')",Luther,DePaul
1643,March 29,Old Capitol Open 2025,"('10', '6')",Luther,Washington University [B]
1644,March 30,Old Capitol Open 2025,"('9', '4')",Luther,Iowa [B]
1645,March 30,Old Capitol Open 2025,"('7', '6')",Luther,Washington University [B]
1646,March 29,Old Capitol Open 2025,"('4', '14')",Iowa [B],DePaul
1647,March 29,Old Capitol Open 2025,"('4', '13')",Iowa [B],Luther
1648,March 29,Old Capitol Open 2025,"('13', '8')",Iowa [B],Wisconsin-Milwaukee [B]
1649,March 30,Old Capitol Open 2025,"('9', '4')",Iowa [B],Carthage
1650,March 30,Old Capitol Open 2025,"('4', '9')",Iowa [B],Luther
1651,March 30,Old Capitol Open 2025,"('3', '12')",Iowa [B],Minnesota [C]
1652,March 29,Old Capitol Open 2025,"('13', '5')",St Thomas,Wisconsin-Milwaukee [B]
1653,March 29,Old Capitol Open 2025,"('11', '10')",St Thomas,Washington University [B]
1654,March 29,Old Capitol Open 2025,"('8', '13')",St Thomas,Iowa
1655,March 30,Old Capitol Open 2025,"('7', '10')",St Thomas,St John's (Minnesota)
1656,March 30,Old Capitol Open 2025,"('5', '13')",St Thomas,Wisconsin-Platteville
1657,March 29,Old Capitol Open 2025,"('12', '5')",Washington University [B],Wisconsin-Milwaukee [B]
1658,March 29,Old Capitol Open 2025,"('10', '11')",Washington University [B],St Thomas
1659,March 29,Old Capitol Open 2025,"('6', '10')",Washington University [B],Luther
1660,March 30,Old Capitol Open 2025,"('11', '1')",Washington University [B],Iowa State [B]
1661,March 30,Old Capitol Open 2025,"('12', '9')",Washington University [B],Minnesota [C]
1662,March 30,Old Capitol Open 2025,"('6', '7')",Washington University [B],Luther
1663,March 29,Old Capitol Open 2025,"('5', '12')",Wisconsin-Milwaukee [B],Washington University [B]
1664,March 29,Old Capitol Open 2025,"('5', '13')",Wisconsin-Milwaukee [B],St Thomas
1665,March 29,Old Capitol Open 2025,"('8', '13')",Wisconsin-Milwaukee [B],Iowa [B]
1666,March 30,Old Capitol Open 2025,"('5', '13')",Wisconsin-Milwaukee [B],Minnesota [C]
1667,March 30,Old Capitol Open 2025,"('13', '8')",Wisconsin-Milwaukee [B],Iowa State [B]
1668,March 29,Old Capitol Open 2025,"('13', '2')",Wisconsin-Platteville,Iowa State [B]
1669,March 29,Old Capitol Open 2025,"('13', '3')",Wisconsin-Platteville,Carthage
1670,March 29,Old Capitol Open 2025,"('10', '12')",Wisconsin-Platteville,Wisconsin-Milwaukee
1671,March 30,Old Capitol Open 2025,"('8', '13')",Wisconsin-Platteville,Winona State
1672,March 30,Old Capitol Open 2025,"('13', '5')",Wisconsin-Platteville,St Thomas
1673,March 30,Old Capitol Open 2025,"('9', '12')",Wisconsin-Platteville,Illinois State
1674,March 29,Old Capitol Open 2025,"('13', '5')",Carthage,Iowa State [B]
1675,March 29,Old Capitol Open 2025,"('3', '13')",Carthage,Wisconsin-Platteville
1676,March 29,Old Capitol Open 2025,"('4', '13')",Carthage,Minnesota [C]
1677,March 30,Old Capitol Open 2025,"('4', '9')",Carthage,Iowa [B]
1678,March 29,Old Capitol Open 2025,"('5', '13')",Iowa State [B],Carthage
1679,March 29,Old Capitol Open 2025,"('2', '13')",Iowa State [B],Wisconsin-Platteville
1680,March 29,Old Capitol Open 2025,"('9', '8')",Iowa State [B],Grinnell [B]
1681,March 30,Old Capitol Open 2025,"('1', '11')",Iowa State [B],Washington University [B]
1682,March 30,Old Capitol Open 2025,"('8', '13')",Iowa State [B],Wisconsin-Milwaukee [B]
1683,March 29,Old Capitol Open 2025,"('13', '0')",Nebraska,Grinnell [B]
1684,March 29,Old Capitol Open 2025,"('13', '5')",Nebraska,Minnesota [C]
1685,March 29,Old Capitol Open 2025,"('9', '13')",Nebraska,Wisconsin-La Crosse
1686,March 30,Old Capitol Open 2025,"('13', '6')",Nebraska,Illinois State
1687,March 30,Old Capitol Open 2025,"('12', '13')",Nebraska,Minnesota-Duluth
1688,March 30,Old Capitol Open 2025,"('11', '5')",Nebraska,St John's (Minnesota)
1689,March 29,Old Capitol Open 2025,"('13', '0')",Minnesota-C,Grinnell [B]
1690,March 29,Old Capitol Open 2025,"('5', '13')",Minnesota-C,Nebraska
1691,March 29,Old Capitol Open 2025,"('13', '4')",Minnesota-C,Carthage
1692,March 30,Old Capitol Open 2025,"('13', '5')",Minnesota-C,Wisconsin-Milwaukee [B]
1693,March 30,Old Capitol Open 2025,"('9', '12')",Minnesota-C,Washington University [B]
1694,March 30,Old Capitol Open 2025,"('12', '3')",Minnesota-C,Iowa [B]
1695,March 29,Old Capitol Open 2025,"('0', '13')",Grinnell [B],Minnesota [C]
1696,March 29,Old Capitol Open 2025,"('0', '13')",Grinnell [B],Nebraska
1697,March 29,Old Capitol Open 2025,"('8', '9')",Grinnell [B],Iowa State [B]
1698,March 29,Sinvite 2025,"('13', '1')",Brigham Young [B],California-San Diego [B]
1699,March 29,Sinvite 2025,"('13', '3')",Brigham Young [B],Northern Arizona
1700,March 29,Sinvite 2025,"('13', '2')",Brigham Young [B],Southern California [B]
1701,March 29,Sinvite 2025,"('11', '10')",Brigham Young [B],Arizona
1702,March 29,Sinvite 2025,"('13', '9')",Arizona,Northern Arizona
1703,March 29,Sinvite 2025,"('12', '4')",Arizona,Southern California [B]
1704,March 29,Sinvite 2025,"('12', '5')",Arizona,San Diego State [B]
1705,March 29,Sinvite 2025,"('10', '11')",Arizona,Brigham Young [B]
1706,March 30,Sinvite 2025,"('10', '4')",Arizona,California-San Diego [B]
1707,March 30,Sinvite 2025,"('11', '10')",Arizona,Southern California [B]
1708,March 29,Sinvite 2025,"('7', '6')",Southern California [B],San Diego State [B]
1709,March 29,Sinvite 2025,"('4', '12')",Southern California [B],Arizona
1710,March 29,Sinvite 2025,"('2', '13')",Southern California [B],Brigham Young [B]
1711,March 29,Sinvite 2025,"('13', '8')",Southern California [B],California-San Diego [B]
1712,March 30,Sinvite 2025,"('10', '9')",Southern California [B],Northern Arizona
1713,March 30,Sinvite 2025,"('10', '11')",Southern California [B],Arizona
1714,March 29,Sinvite 2025,"('9', '13')",Northern Arizona,Arizona
1715,March 29,Sinvite 2025,"('3', '13')",Northern Arizona,Brigham Young [B]
1716,March 29,Sinvite 2025,"('13', '7')",Northern Arizona,California-San Diego [B]
1717,March 29,Sinvite 2025,"('7', '4')",Northern Arizona,San Diego State [B]
1718,March 30,Sinvite 2025,"('9', '10')",Northern Arizona,Southern California [B]
1719,March 29,Sinvite 2025,"('1', '13')",California-San Diego [B],Brigham Young [B]
1720,March 29,Sinvite 2025,"('8', '6')",California-San Diego [B],San Diego State [B]
1721,March 29,Sinvite 2025,"('7', '13')",California-San Diego [B],Northern Arizona
1722,March 29,Sinvite 2025,"('8', '13')",California-San Diego [B],Southern California [B]
1723,March 30,Sinvite 2025,"('4', '10')",California-San Diego [B],Arizona
1724,March 30,Sinvite 2025,"('5', '7')",California-San Diego [B],San Diego State [B]
1725,March 29,Sinvite 2025,"('6', '7')",San Diego State [B],Southern California [B]
1726,March 29,Sinvite 2025,"('6', '8')",San Diego State [B],California-San Diego [B]
1727,March 29,Sinvite 2025,"('5', '12')",San Diego State [B],Arizona
1728,March 29,Sinvite 2025,"('4', '7')",San Diego State [B],Northern Arizona
1729,March 30,Sinvite 2025,"('7', '5')",San Diego State [B],California-San Diego [B]
1730,March 23,Butler Spring Fling 2025,"('13', '2')",Asbury,Butler
1731,March 23,Butler Spring Fling 2025,"('13', '3')",Asbury,Xavier
1732,March 23,Butler Spring Fling 2025,"('13', '2')",Asbury,Hillsdale
1733,March 23,Butler Spring Fling 2025,"('2', '13')",Butler,Asbury
1734,March 23,Butler Spring Fling 2025,"('13', '7')",Butler,Hillsdale
1735,March 23,Butler Spring Fling 2025,"('13', '7')",Butler,Xavier
1736,March 23,Butler Spring Fling 2025,"('9', '7')",Hillsdale,Xavier
1737,March 23,Butler Spring Fling 2025,"('7', '13')",Hillsdale,Butler
1738,March 23,Butler Spring Fling 2025,"('2', '13')",Hillsdale,Asbury
1739,March 23,Butler Spring Fling 2025,"('7', '9')",Xavier,Hillsdale
1740,March 23,Butler Spring Fling 2025,"('3', '13')",Xavier,Asbury
1741,March 23,Butler Spring Fling 2025,"('7', '13')",Xavier,Butler
1742,March 22,Atlantic Coast Open 2025,"('15', '1')",Virginia Tech,Wake Forest
1743,March 22,Atlantic Coast Open 2025,"('13', '9')",Virginia Tech,RIT
1744,March 22,Atlantic Coast Open 2025,"('15', '4')",Virginia Tech,George Washington
1745,March 22,Atlantic Coast Open 2025,"('14', '8')",Virginia Tech,Lehigh
1746,March 23,Atlantic Coast Open 2025,"('15', '11')",Virginia Tech,Duke
1747,March 23,Atlantic Coast Open 2025,"('13', '12')",Virginia Tech,North Carolina-Charlotte
1748,March 23,Atlantic Coast Open 2025,"('14', '9')",Virginia Tech,Appalachian State
1749,March 22,Atlantic Coast Open 2025,"('13', '4')",Lehigh,George Washington
1750,March 22,Atlantic Coast Open 2025,"('13', '7')",Lehigh,RIT
1751,March 22,Atlantic Coast Open 2025,"('15', '9')",Lehigh,Wake Forest
1752,March 22,Atlantic Coast Open 2025,"('8', '14')",Lehigh,Virginia Tech
1753,March 23,Atlantic Coast Open 2025,"('10', '12')",Lehigh,Liberty
1754,March 23,Atlantic Coast Open 2025,"('14', '12')",Lehigh,Dickinson
1755,March 23,Atlantic Coast Open 2025,"('11', '8')",Lehigh,Duke
1756,March 22,Atlantic Coast Open 2025,"('15', '4')",RIT,George Washington
1757,March 22,Atlantic Coast Open 2025,"('9', '13')",RIT,Virginia Tech
1758,March 22,Atlantic Coast Open 2025,"('7', '13')",RIT,Lehigh
1759,March 22,Atlantic Coast Open 2025,"('15', '3')",RIT,Wake Forest
1760,March 23,Atlantic Coast Open 2025,"('15', '13')",RIT,Massachusetts [B]
1761,March 23,Atlantic Coast Open 2025,"('15', '12')",RIT,American
1762,March 23,Atlantic Coast Open 2025,"('15', '9')",RIT,East Carolina
1763,March 22,Atlantic Coast Open 2025,"('1', '15')",Wake Forest,Virginia Tech
1764,March 22,Atlantic Coast Open 2025,"('9', '6')",Wake Forest,George Washington
1765,March 22,Atlantic Coast Open 2025,"('9', '15')",Wake Forest,Lehigh
1766,March 22,Atlantic Coast Open 2025,"('3', '15')",Wake Forest,RIT
1767,March 23,Atlantic Coast Open 2025,"('5', '15')",Wake Forest,George Mason
1768,March 23,Atlantic Coast Open 2025,"('4', '15')",Wake Forest,Florida State
1769,March 23,Atlantic Coast Open 2025,"('4', '10')",Wake Forest,Massachusetts [B]
1770,March 22,Atlantic Coast Open 2025,"('4', '15')",George Washington,RIT
1771,March 22,Atlantic Coast Open 2025,"('4', '13')",George Washington,Lehigh
1772,March 22,Atlantic Coast Open 2025,"('6', '9')",George Washington,Wake Forest
1773,March 22,Atlantic Coast Open 2025,"('4', '15')",George Washington,Virginia Tech
1774,March 23,Atlantic Coast Open 2025,"('15', '1')",George Washington,American [B]
1775,March 23,Atlantic Coast Open 2025,"('15', '7')",George Washington,Virginia Tech [B]
1776,March 22,Atlantic Coast Open 2025,"('11', '10')",Liberty,Massachusetts [B]
1777,March 22,Atlantic Coast Open 2025,"('10', '8')",Liberty,George Mason
1778,March 22,Atlantic Coast Open 2025,"('12', '6')",Liberty,Virginia Tech [B]
1779,March 22,Atlantic Coast Open 2025,"('14', '7')",Liberty,Duke
1780,March 23,Atlantic Coast Open 2025,"('12', '10')",Liberty,Lehigh
1781,March 23,Atlantic Coast Open 2025,"('12', '15')",Liberty,Appalachian State
1782,March 23,Atlantic Coast Open 2025,"('11', '6')",Liberty,North Carolina-Charlotte
1783,March 22,Atlantic Coast Open 2025,"('15', '7')",Duke,Virginia Tech [B]
1784,March 22,Atlantic Coast Open 2025,"('10', '7')",Duke,Massachusetts [B]
1785,March 22,Atlantic Coast Open 2025,"('7', '14')",Duke,Liberty
1786,March 22,Atlantic Coast Open 2025,"('12', '11')",Duke,George Mason
1787,March 23,Atlantic Coast Open 2025,"('11', '15')",Duke,Virginia Tech
1788,March 23,Atlantic Coast Open 2025,"('15', '11')",Duke,Vermont [B]
1789,March 23,Atlantic Coast Open 2025,"('8', '11')",Duke,Lehigh
1790,March 22,Atlantic Coast Open 2025,"('8', '10')",George Mason,Liberty
1791,March 22,Atlantic Coast Open 2025,"('11', '9')",George Mason,Massachusetts [B]
1792,March 22,Atlantic Coast Open 2025,"('11', '7')",George Mason,Virginia Tech [B]
1793,March 22,Atlantic Coast Open 2025,"('11', '12')",George Mason,Duke
1794,March 23,Atlantic Coast Open 2025,"('15', '5')",George Mason,Wake Forest
1795,March 23,Atlantic Coast Open 2025,"('9', '10')",George Mason,East Carolina
1796,March 23,Atlantic Coast Open 2025,"('11', '15')",George Mason,American
1797,March 22,Atlantic Coast Open 2025,"('10', '11')",Massachusetts  [B],Liberty
1798,March 22,Atlantic Coast Open 2025,"('7', '10')",Massachusetts  [B],Duke
1799,March 22,Atlantic Coast Open 2025,"('9', '11')",Massachusetts  [B],George Mason
1800,March 22,Atlantic Coast Open 2025,"('15', '3')",Massachusetts  [B],Virginia Tech [B]
1801,March 23,Atlantic Coast Open 2025,"('13', '15')",Massachusetts  [B],RIT
1802,March 23,Atlantic Coast Open 2025,"('13', '15')",Massachusetts  [B],Messiah
1803,March 23,Atlantic Coast Open 2025,"('10', '4')",Massachusetts  [B],Wake Forest
1804,March 22,Atlantic Coast Open 2025,"('7', '15')",Virginia Tech [B],Duke
1805,March 22,Atlantic Coast Open 2025,"('6', '12')",Virginia Tech [B],Liberty
1806,March 22,Atlantic Coast Open 2025,"('7', '11')",Virginia Tech [B],George Mason
1807,March 22,Atlantic Coast Open 2025,"('3', '15')",Virginia Tech [B],Massachusetts [B]
1808,March 23,Atlantic Coast Open 2025,"('15', '5')",Virginia Tech [B],George Washington [B]
1809,March 23,Atlantic Coast Open 2025,"('7', '15')",Virginia Tech [B],George Washington
1810,March 22,Atlantic Coast Open 2025,"('14', '8')",Appalachian State,Messiah
1811,March 22,Atlantic Coast Open 2025,"('14', '12')",Appalachian State,Florida State
1812,March 22,Atlantic Coast Open 2025,"('15', '1')",Appalachian State,American [B]
1813,March 22,Atlantic Coast Open 2025,"('13', '8')",Appalachian State,Vermont [B]
1814,March 23,Atlantic Coast Open 2025,"('15', '11')",Appalachian State,Dickinson
1815,March 23,Atlantic Coast Open 2025,"('15', '12')",Appalachian State,Liberty
1816,March 23,Atlantic Coast Open 2025,"('9', '14')",Appalachian State,Virginia Tech
1817,March 22,Atlantic Coast Open 2025,"('15', '1')",Vermont [B],American [B]
1818,March 22,Atlantic Coast Open 2025,"('9', '8')",Vermont [B],Florida State
1819,March 22,Atlantic Coast Open 2025,"('9', '7')",Vermont [B],Messiah
1820,March 22,Atlantic Coast Open 2025,"('8', '13')",Vermont [B],Appalachian State
1821,March 23,Atlantic Coast Open 2025,"('11', '15')",Vermont [B],North Carolina-Charlotte
1822,March 23,Atlantic Coast Open 2025,"('11', '15')",Vermont [B],Duke
1823,March 23,Atlantic Coast Open 2025,"('14', '12')",Vermont [B],Dickinson
1824,March 22,Atlantic Coast Open 2025,"('15', '11')",Florida State,Messiah
1825,March 22,Atlantic Coast Open 2025,"('8', '9')",Florida State,Vermont [B]
1826,March 22,Atlantic Coast Open 2025,"('12', '14')",Florida State,Appalachian State
1827,March 22,Atlantic Coast Open 2025,"('14', '5')",Florida State,American [B]
1828,March 23,Atlantic Coast Open 2025,"('13', '14')",Florida State,East Carolina
1829,March 23,Atlantic Coast Open 2025,"('15', '4')",Florida State,Wake Forest
1830,March 23,Atlantic Coast Open 2025,"('13', '8')",Florida State,Messiah
1831,March 22,Atlantic Coast Open 2025,"('11', '15')",Messiah,Florida State
1832,March 22,Atlantic Coast Open 2025,"('8', '14')",Messiah,Appalachian State
1833,March 22,Atlantic Coast Open 2025,"('15', '6')",Messiah,American [B]
1834,March 22,Atlantic Coast Open 2025,"('7', '9')",Messiah,Vermont [B]
1835,March 23,Atlantic Coast Open 2025,"('13', '14')",Messiah,American
1836,March 23,Atlantic Coast Open 2025,"('15', '13')",Messiah,Massachusetts [B]
1837,March 23,Atlantic Coast Open 2025,"('8', '13')",Messiah,Florida State
1838,March 22,Atlantic Coast Open 2025,"('1', '15')",American [B],Vermont [B]
1839,March 22,Atlantic Coast Open 2025,"('6', '15')",American [B],Messiah
1840,March 22,Atlantic Coast Open 2025,"('1', '15')",American [B],Appalachian State
1841,March 22,Atlantic Coast Open 2025,"('5', '14')",American [B],Florida State
1842,March 23,Atlantic Coast Open 2025,"('1', '15')",American [B],George Washington
1843,March 23,Atlantic Coast Open 2025,"('10', '11')",American [B],George Washington [B]
1844,March 22,Atlantic Coast Open 2025,"('15', '1')",North Carolina-Charlotte,George Washington [B]
1845,March 22,Atlantic Coast Open 2025,"('12', '6')",North Carolina-Charlotte,East Carolina
1846,March 22,Atlantic Coast Open 2025,"('11', '6')",North Carolina-Charlotte,American
1847,March 22,Atlantic Coast Open 2025,"('11', '7')",North Carolina-Charlotte,Dickinson
1848,March 23,Atlantic Coast Open 2025,"('15', '11')",North Carolina-Charlotte,Vermont [B]
1849,March 23,Atlantic Coast Open 2025,"('12', '13')",North Carolina-Charlotte,Virginia Tech
1850,March 23,Atlantic Coast Open 2025,"('6', '11')",North Carolina-Charlotte,Liberty
1851,March 22,Atlantic Coast Open 2025,"('12', '8')",Dickinson,American
1852,March 22,Atlantic Coast Open 2025,"('8', '9')",Dickinson,East Carolina
1853,March 22,Atlantic Coast Open 2025,"('15', '2')",Dickinson,George Washington [B]
1854,March 22,Atlantic Coast Open 2025,"('7', '11')",Dickinson,North Carolina-Charlotte
1855,March 23,Atlantic Coast Open 2025,"('11', '15')",Dickinson,Appalachian State
1856,March 23,Atlantic Coast Open 2025,"('12', '14')",Dickinson,Lehigh
1857,March 23,Atlantic Coast Open 2025,"('12', '14')",Dickinson,Vermont [B]
1858,March 22,Atlantic Coast Open 2025,"('12', '9')",American,East Carolina
